"gene_symbol","matched_feature","status","assay","mk_pct_expr","other_pct_expr","mk_mean_expr","other_mean_expr","mk_enrichment_log2","ph_mk_mean_expr","control_mk_mean_expr","ph_vs_control_mk_log2","ph_mk_pct_expr","control_mk_pct_expr","ph_vs_control_mk_p_value","mk_vs_other_p_value"
"Pdgfb","Pdgfb","matched","RNA",26.86,20.48,0.83843,0.54026,0.634,1.00656,0.50327,1,32.13,16.34,0.000317,0.000191
"Tgfb1","Tgfb1","matched","RNA",68.56,38.93,2.17686,1.02026,1.093,2.38361,1.76471,0.434,71.8,62.09,0.0154,0
"F3","F3","matched","RNA",2.4,6.56,0.03057,0.1539,-2.332,0.03279,0.02614,0.327,2.95,1.31,0.285,0.000287
"Thbs1","Thbs1","matched","RNA",87.99,12.05,10.11135,0.7461,3.76,11.14426,8.05229,0.469,88.52,86.93,0.00687,0
"Glo1","Glo1","matched","RNA",17.03,21.05,0.24236,0.29366,-0.277,0.28852,0.15033,0.941,19.67,11.76,0.0266,0.0356
"Rab27a","Rab27a","matched","RNA",13.32,16.27,0.16594,0.22034,-0.409,0.16721,0.1634,0.033,14.1,11.76,0.52,0.074
"Tsg101","Tsg101","matched","RNA",24.89,28.06,0.38865,0.4108,-0.08,0.42623,0.31373,0.442,25.9,22.88,0.383,0.183
"Cd44","Cd44","matched","RNA",52.84,49.41,1.33843,2.83629,-1.083,1.36393,1.28758,0.083,53.11,52.29,0.588,0.159
"Lox","Lox","matched","RNA",4.15,8.06,0.12445,0.3102,-1.318,0.17377,0.02614,2.733,5.57,1.31,0.0303,0.00213
"Loxl1","Loxl1","matched","RNA",4.37,8.07,0.06114,0.31033,-2.344,0.0623,0.05882,0.083,4.59,3.92,0.741,0.0024
"Loxl2","Loxl2","matched","RNA",3.71,4.33,0.0393,0.07509,-0.934,0.05574,0.00654,3.092,5.25,0.65,0.0143,0.489
"Mki67","Mki67","matched","RNA",0.66,2.38,0.00655,0.11504,-4.134,0.00328,0.01307,-1.995,0.33,1.31,0.222,0.0151
"Amd1","Amd1","matched","RNA",31.44,14.87,0.59607,0.23336,1.353,0.78033,0.22876,1.77,38.03,18.3,6.55e-06,0
"Amd2","Amd2","matched","RNA",4.37,2.1,0.04367,0.02291,0.931,0.05902,0.01307,2.175,5.9,1.31,0.0235,8e-04
"Pnp","Pnp","matched","RNA",20.31,38.9,0.38428,0.8936,-1.217,0.50164,0.15033,1.739,26.56,7.84,3.81e-06,2.9e-16
"Nt5c2","Nt5c2","matched","RNA",8.95,19.06,0.10262,0.24243,-1.24,0.14426,0.01961,2.879,12.46,1.96,2e-04,3.05e-08
"Nt5e","Nt5e","matched","RNA",3.06,5.63,0.0393,0.103,-1.39,0.04262,0.03268,0.383,3.61,1.96,0.34,0.016
