metabolite,source,comparison,metabolite_direction,metabolite_log2fc,metabolite_priority_score,compound_ids,pathways,link_type,link_pathway,link_pathway_name,enzyme,gene_id,gene_symbol,gene_aliases,gene_name,gene_pathways,gene_modules,mechanism_tags,evidence_priority_score,hypothesis_readiness_score
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:4.1.1.50,mmu:11702,Amd1,"AdoMetDC, Amd-1, SAMDC, SAMDC 1, adoMetDC1",(RefSeq) S-adenosylmethionine decarboxylase proenzyme 1,mmu00270  Cysteine and methionine metabolism;mmu00330  Arginine and proline metabolism;mmu01100  Metabolic pathways,mmu_M00034  Methionine salvage pathway,polyamine metabolism;S-adenosylmethionine metabolism;methionine salvage;cysteine/methionine metabolism;arginine/proline metabolism,29.4,35.4
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:4.1.1.50,mmu:100041585,Amd2,"AdoMetDC, Amd1, Amd3",(RefSeq) S-adenosylmethionine decarboxylase proenzyme 2,mmu00270  Cysteine and methionine metabolism;mmu00330  Arginine and proline metabolism;mmu01100  Metabolic pathways,mmu_M00034  Methionine salvage pathway,polyamine metabolism;S-adenosylmethionine metabolism;methionine salvage;cysteine/methionine metabolism;arginine/proline metabolism,26.7,30
Retinoic Acid,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.44,75.6,C00777;C15493,path:map00830;path:map01100;path:map03320;path:map04659;path:map04672;path:map04920;path:map05200;path:map05222,direct_compound_enzyme,,,ec:1.14.14.1,mmu:13076,Cyp1a1,"AHH, AHRR, CP11, CYPIA1, P450-1",(RefSeq) cytochrome P450 1A1,mmu00140  Steroid hormone biosynthesis;mmu00380  Tryptophan metabolism;mmu00830  Retinol metabolism;mmu00980  Metabolism of xenobiotics by cytochrome P450;mmu01100  Metabolic pathways;mmu04913  Ovarian steroidogenesis;mmu05204  Chemical carcinogenesis - DNA adducts;mmu05207  Chemical carcinogenesis - receptor activation;mmu05208  Chemical carcinogenesis - reactive oxygen species;mmu05417  Lipid and atherosclerosis,,tryptophan metabolism;retinoid metabolism,28.1,24.6
tryptophan,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,4.03,74.9,C00806;C00078,path:map00260;path:map00380;path:map00400;path:map00404;path:map00901;path:map00966;path:map00970;path:map00996,pathway_neighbor_gene,path:map00380,Tryptophan metabolism,ec:1.14.14.1,mmu:13076,Cyp1a1,"AHH, AHRR, CP11, CYPIA1, P450-1",(RefSeq) cytochrome P450 1A1,mmu00140  Steroid hormone biosynthesis;mmu00380  Tryptophan metabolism;mmu00830  Retinol metabolism;mmu00980  Metabolism of xenobiotics by cytochrome P450;mmu01100  Metabolic pathways;mmu04913  Ovarian steroidogenesis;mmu05204  Chemical carcinogenesis - DNA adducts;mmu05207  Chemical carcinogenesis - receptor activation;mmu05208  Chemical carcinogenesis - reactive oxygen species;mmu05417  Lipid and atherosclerosis,,tryptophan metabolism;retinoid metabolism,28.8,24.4
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:2.5.1.6,mmu:232087,Mat2a,"D630045P18Rik, MAT 2",(RefSeq) S-adenosylmethionine synthase isoform type-2 isoform 1,mmu00270  Cysteine and methionine metabolism;mmu00670  One carbon pool by folate;mmu01100  Metabolic pathways;mmu01230  Biosynthesis of amino acids;mmu01240  Biosynthesis of cofactors,mmu_M00034  Methionine salvage pathway;mmu_M00035  Methionine degradation,S-adenosylmethionine metabolism;methionine salvage;cysteine/methionine metabolism;one-carbon metabolism,24.9,23.1
tryptophan,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,4.03,74.9,C00806;C00078,path:map00260;path:map00380;path:map00400;path:map00404;path:map00901;path:map00966;path:map00970;path:map00996,pathway_neighbor_gene,path:map00380,Tryptophan metabolism,ec:1.2.1.3,mmu:11669,Aldh2,"AHD-M1, ALDH-E2, ALDHI, Ahd-5, Ahd5","(RefSeq) aldehyde dehydrogenase, mitochondrial isoform 1 precursor","mmu00010  Glycolysis / Gluconeogenesis;mmu00053  Ascorbate and aldarate metabolism;mmu00071  Fatty acid degradation;mmu00280  Valine, leucine and isoleucine degradation;mmu00310  Lysine degradation;mmu00330  Arginine and proline metabolism;mmu00340  Histidine metabolism;mmu00380  Tryptophan metabolism;mmu00410  beta-Alanine metabolism;mmu00561  Glycerolipid metabolism;mmu00620  Pyruvate metabolism;mmu00770  Pantothenate and CoA biosynthesis;mmu01100  Metabolic pathways;mmu01240  Biosynthesis of cofactors;mmu04936  Alcoholic liver disease","mmu_M00135  GABA biosynthesis, eukaryotes, putrescine => GABA",arginine/proline metabolism;tryptophan metabolism;glycolysis;fatty-acid metabolism,28.7,23.1
Urocanic acid,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,down,-3.95,77.1,C00785;C05571,path:map00340;path:map01100;path:map04382,pathway_neighbor_gene,path:map00340,Histidine metabolism,ec:1.2.1.3,mmu:11669,Aldh2,"AHD-M1, ALDH-E2, ALDHI, Ahd-5, Ahd5","(RefSeq) aldehyde dehydrogenase, mitochondrial isoform 1 precursor","mmu00010  Glycolysis / Gluconeogenesis;mmu00053  Ascorbate and aldarate metabolism;mmu00071  Fatty acid degradation;mmu00280  Valine, leucine and isoleucine degradation;mmu00310  Lysine degradation;mmu00330  Arginine and proline metabolism;mmu00340  Histidine metabolism;mmu00380  Tryptophan metabolism;mmu00410  beta-Alanine metabolism;mmu00561  Glycerolipid metabolism;mmu00620  Pyruvate metabolism;mmu00770  Pantothenate and CoA biosynthesis;mmu01100  Metabolic pathways;mmu01240  Biosynthesis of cofactors;mmu04936  Alcoholic liver disease","mmu_M00135  GABA biosynthesis, eukaryotes, putrescine => GABA",arginine/proline metabolism;tryptophan metabolism;glycolysis;fatty-acid metabolism,28.5,23
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:2.5.1.6,mmu:108645,Mat2b,"1110064C04Rik, 2410018D16Rik, MAT-II, MATIIbeta, TGR",(RefSeq) methionine adenosyltransferase 2 subunit beta isoform 1,mmu00270  Cysteine and methionine metabolism;mmu00670  One carbon pool by folate;mmu01100  Metabolic pathways;mmu01230  Biosynthesis of amino acids;mmu01240  Biosynthesis of cofactors,mmu_M00034  Methionine salvage pathway;mmu_M00035  Methionine degradation,S-adenosylmethionine metabolism;methionine salvage;cysteine/methionine metabolism;one-carbon metabolism,23.9,22.6
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:1.1.1.27,mmu:16828,Ldha,"Ldh1, Ldhm, l7R2",(RefSeq) L-lactate dehydrogenase A chain isoform 1,mmu00010  Glycolysis / Gluconeogenesis;mmu00270  Cysteine and methionine metabolism;mmu00620  Pyruvate metabolism;mmu00640  Propanoate metabolism;mmu01100  Metabolic pathways;mmu04066  HIF-1 signaling pathway;mmu04922  Glucagon signaling pathway;mmu05230  Central carbon metabolism in cancer,,cysteine/methionine metabolism;glycolysis,28.9,22.5
methionine,sFig6A Raw data.xlsx,PH-mk_vs_Control-mk,up,3.26,59.6,C01733;C00073,path:map00270;path:map00470;path:map00670;path:map00920;path:map00966;path:map00970;path:map00999;path:map01060,pathway_neighbor_gene,path:map00270,Cysteine and methionine metabolism,ec:2.6.1.1,mmu:14719,Got2,"FABP-pm, Got-2, Kyat4, mAspAT","(RefSeq) aspartate aminotransferase, mitochondrial","mmu00220  Arginine biosynthesis;mmu00250  Alanine, aspartate and glutamate metabolism;mmu00270  Cysteine and methionine metabolism;mmu00330  Arginine and proline metabolism;mmu00350  Tyrosine metabolism;mmu00360  Phenylalanine metabolism;mmu00400  Phenylalanine, tyrosine and tryptophan biosynthesis;mmu01100  Metabolic pathways;mmu01200  Carbon metabolism;mmu01210  2-Oxocarboxylic acid metabolism;mmu01230  Biosynthesis of amino acids;mmu04975  Fat digestion and absorption",,cysteine/methionine metabolism;arginine/proline metabolism;tryptophan metabolism,24.9,22.2
