"gene_symbol","matched_feature","status","assay","mk_pct_expr","other_pct_expr","mk_mean_expr","other_mean_expr","mk_enrichment_log2","ph_mk_mean_expr","control_mk_mean_expr","ph_vs_control_mk_log2","ph_mk_pct_expr","control_mk_pct_expr","ph_vs_control_mk_p_value","mk_vs_other_p_value"
"Gla","Gla","matched","RNA",3.06,13.37,0.0393,0.21231,-2.434,0.04918,0.01961,1.327,3.61,1.96,0.33,8.28e-11
"Gck","Gck","matched","RNA",0,0.12,0,0.00199,-20.925,0,0,0,0,0,NA,0.45
"Akr1b1","","not_found_in_seurat_features","RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akr1b7","Akr1b7","matched","RNA",0,0.09,0,0.00095,-19.851,0,0,0,0,0,NA,0.52
"Glb1","Glb1","matched","RNA",6.33,8.52,0.07205,0.10515,-0.545,0.08852,0.03922,1.175,7.54,3.92,0.13,0.0885
"Akr1b8","Akr1b8","matched","RNA",2.62,4,0.0262,0.05933,-1.179,0.03607,0.00654,2.464,3.61,0.65,0.0625,0.126
"G6pc1","","not_found_in_seurat_features","RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G6pc2","","not_found_in_seurat_features","RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaa","Gaa","matched","RNA",8.08,16.43,0.10699,0.22979,-1.103,0.11148,0.09804,0.185,8.85,6.54,0.408,1.33e-06
"Galt","Galt","matched","RNA",3.93,9.61,0.04148,0.11,-1.407,0.0459,0.03268,0.49,4.26,3.27,0.603,3.54e-05
"Hk1","Hk1","matched","RNA",37.77,20.25,0.6179,0.27724,1.156,0.69836,0.45752,0.61,39.67,33.99,0.143,0
"Hk2","Hk2","matched","RNA",2.62,12.67,0.05022,0.21776,-2.116,0.06557,0.01961,1.742,2.95,1.96,0.52,1.34e-10
"Lalba","Lalba","matched","RNA",0,0.09,0,0.00109,-20.052,0,0,0,0,0,NA,0.513
