source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
sFig6A Raw data.xlsx,PE(40:1),PH-mk_vs_Control-mk,down,-49.47319335712327,781475.1666666666,0.0,,,968.4794336731759
sFig6A Raw data.xlsx,ceramide(d18:1/18:1),PH-mk_vs_Control-mk,down,-47.32525575945354,176328.1033333333,0.0,,,824.7803495605361
sFig6A Raw data.xlsx,Gibberellin A14 isomer,PH-mk_vs_Control-mk,up,47.1097278632252,0.0,151859.22333333336,,,810.8707501160227
sFig6A Raw data.xlsx,PG(16:1/20:5),PH-CD41_vs_Control-CD41,down,-41.687991869893715,3542.713333333333,0.0,,,491.54503759302133
sFig6A Raw data.xlsx,SM(d18:1/24:0),PH-mk_vs_Control-mk,down,-9.819000353536092,4356564.04,4823.1466666666665,,,216.555692809472
sFig6A Raw data.xlsx,SM(d18:1/20:0),PH-mk_vs_Control-mk,down,-7.9086584260392305,6944896.833333333,28901.63333333333,,,179.74420868577047
sFig6A Raw data.xlsx,DAG(40:7),PH-mk_vs_Control-mk,down,-7.590108684649294,817199.73,4241.093333333333,,,149.07224664397484
sFig6A Raw data.xlsx,PC(18:0/20:2),PH-mk_vs_Control-mk,down,-6.170330330484144,6525028.166666667,90599.93333333333,,,139.6811793891095
sFig6A Raw data.xlsx,ceramide(d18:1/16:0),PH-mk_vs_Control-mk,down,-6.279252713838097,2944431.9166666665,37910.37666666667,,,134.9383677400436
sFig6A Raw data.xlsx,PE(18:0/18:0),PH-mk_vs_Control-mk,down,-6.05615511808565,2479164.1666666665,37258.12,,,128.64135236868847
sFig6A Raw data.xlsx,PC(18:0/20:3),PH-mk_vs_Control-mk,down,-4.894297117622519,43358278.666666664,1457947.1866666668,,,124.16735947281747
sFig6A Raw data.xlsx,Raffinose,PH-mk_vs_Control-mk,up,7.0165201121758685,1458.3533333333335,188819.03666666665,,,122.97610863614034
sFig6A Raw data.xlsx,1-Tetradecanesulfonic acid,PH-CD41_vs_Control-CD41,up,5.814834601394574,33557.96666666667,1889014.42,,,121.23466729380817
sFig6A Raw data.xlsx,PC(18:2/19:0),PH-mk_vs_Control-mk,down,-5.639913164243617,2641615.5,52976.90333333333,,,120.31620891179078
sFig6A Raw data.xlsx,PC(20:4/20:0),PH-mk_vs_Control-mk,down,-4.863549586733087,18867912.0,648111.2066666667,,,117.54922867063188
