metabolite,status,compound_ids,compound_names,pathways,enzymes,mouse_gene_symbols,neighbor_mouse_gene_symbols
Raffinose,mapped,C00492;C08242,Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose;Lychnose; 1F-alpha-D-Galactosylraffinose,path:map00052;path:map01100;path:map02010,ec:2.4.1.166;ec:2.4.1.67;ec:2.4.1.82;ec:3.2.1.22;ec:3.2.1.26,Gla,Gck;Akr1b1;Akr1b7;Glb1;Akr1b8;G6pc1;G6pc2;Gaa;Galt;Hk1;Hk2;Lalba;Pfkl;Pfkm;Hk3;Hkdc1;Ugp2;Lct;Mgam;Pfkp;Pgm2;Akr1b10;G6pc3;Sis;Pgm1;Gale;Ganc
15-deoxy-delta-12-14-PGJ2,no KEGG compound match,,,,,,
phosphate,mapped,C00009;C01153,Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid;Orthophosphoric monoester; Phosphate monoester,path:map00190;path:map00195;path:map02010;path:map02020;path:map02024;path:map04111;path:map04928;path:map04978;path:map05012;path:map05022,ec:1.13.11.78;ec:1.13.11.89;ec:1.13.11.90;ec:1.14.11.49;ec:1.18.6.1;ec:1.18.6.2;ec:1.19.6.1;ec:1.2.1.103;ec:1.2.1.106;ec:1.2.1.11;ec:1.2.1.12;ec:1.2.1.13;ec:1.2.1.38;ec:1.2.1.41;ec:1.2.1.59;ec:1.2.3.3;ec:1.20.1.1;ec:1.21.4.2;ec:1.21.4.3;ec:1.21.4.4;ec:1.3.7.14;ec:1.3.7.15;ec:1.3.7.7;ec:1.3.7.8,Gm29667;Gapdh;Gapdhs;Aldh18a1,Atp4a;Atp4b;Atp5f1b;Atp6v1a;COX1;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;Atp12a;Ndufs8;Cox15;Ndufs2;Ndufs1;Uqcrfs1;Sdhb;Ppa1
Carnosic acid,"compound/enzyme mapped, no mouse genes found for linked enzymes",C21818,"Carnosic acid; Salvin; 11,12-Dihydroxyabieta-8,11,13-trien-20-oic acid",path:map00904;path:map01110,ec:1.14.14.61,,
Urocanic acid,mapped,C00785;C05571,Urocanate; Urocanic acid;Thiourocanic acid,path:map00340;path:map01100;path:map04382,ec:1.3.99.33;ec:4.2.1.49;ec:4.3.1.3,Uroc1;Hal,Carns1;Maob;Aldh7a1;Aspa;Aldh2;Aldh3a1;Aldh3a2;Hnmt;Ftcd;Aoc1l1;Aoc1l3;Cndp1;Aldh9a1;Aldh3b2;Cndp2;Carnmt1;Aldh3b1;Aoc1l2;Aldh3b3;Aoc1
Retinoic Acid,mapped,C00777;C15493,"Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid;9-cis-Retinoic acid",path:map00830;path:map01100;path:map03320;path:map04659;path:map04672;path:map04920;path:map05200;path:map05222;path:map05223;path:map05226,ec:1.14.14.1;ec:1.2.1.36;ec:1.2.3.1;ec:2.4.1.17,Cyp3a41b;Cyp3a59;Cyp2c69;Cyp2j11;Cyp4f15;Cyp2c50;Cyp1a1;Cyp1a2;Aldh1a1;Aldh1a2;Aldh1a7;Aldh1a3;Aox1;Aox2;Aox3;Aox4;Ugt2b38;Ugt2b34;Ugt2b37;Ugt1a2;Ugt2b5;Ugt2b36;Ugt2b35;Ugt1a10,Cyp4a32;Rdh9;Rdh1;Rdh13;Adh7;Adh5;Cyp26a1;Cyp2a12;Cyp2a4;Cyp2a5;Cyp2b19;Cyp2b9;Cyp2c29;Cyp2c37;Cyp2c38;Cyp2c39;Cyp2c40;Cyp3a11;Cyp3a13;Cyp3a16;Cyp4a14;Dgat1;Rdh11;Rdh5;Rdh16;Rpe65;Dhrs3;Rdh19;Cyp2c70;Cyp2c23;Cyp4a29;Cyp26b1;Cyp2a22;Rdh8;Dhrs9;Sdr16c5;Awat2;Adh4;Hsd17b6;Cyp4a12a;Dhrs4;Cyp3a44;Ugt1a7c;Ugt1a5;Ugt1a1;Cyp2c54;Cyp2c68;Cyp4a30b;Cyp3a41a;Rdh7
tryptophan,mapped,C00806;C00078,Tryptophan; alpha-Amino-beta-(3-indolyl)-propionic acid;L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid,path:map00260;path:map00380;path:map00400;path:map00404;path:map00901;path:map00966;path:map00970;path:map00996;path:map00997;path:map00999;path:map01060;path:map01061;path:map01063;path:map01070;path:map01100;path:map01110;path:map01210;path:map01230;path:map01240;path:map04361;path:map04726;path:map04974;path:map04978;path:map05143,ec:1.11.2.8;ec:1.13.11.11;ec:1.13.11.52;ec:1.13.12.3;ec:1.13.99.3;ec:1.14.14.156;ec:1.14.15.41;ec:1.14.16.4;ec:1.14.19.58;ec:1.14.19.59;ec:1.14.19.82;ec:1.14.19.9;ec:1.3.3.10;ec:1.4.1.19;ec:1.4.3.2;ec:2.1.1.106;ec:2.5.1.34;ec:2.5.1.80;ec:2.6.1.27;ec:2.6.1.28;ec:2.6.1.99;ec:3.5.1.57;ec:4.1.1.105;ec:4.1.1.28,Tdo2;Ido1;Ido2;Tph2;Tph1;Il4i1b;Lao1;Il4i1;4930438A08Rik,Psph;Gldc;Psat1;Cth;Shmt2;Maob;Aldh7a1;Agxt;Alas1;Alas2;Bpgm;Cbs;Dao;Dld;Gamt;Gnmt;Maoa;Pgam1;Pipox;Sardh;Sds;Glyctk;Phgdh;Aoc2;Sdsl;Agxt2;Gcat;Srr;Amt;Pgam2;Tha1;Dmgdh;Grhpr;Asmt;Haao;Acat1;Acat2;Aanat;Aldh2;Cat;Cyp1a1;Cyp1a2;Cyp1b1;Ddc;Hadh;Aox2;Inmt;Acat3;Kyat3;Aldh8a1
C22:3,KEGG fetch failed: HTTP Error 400: Bad Request,,,,,,
Glucose,mapped,C00031;C20978,D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose;Glucoselysine,path:map00010;path:map00030;path:map00052;path:map00074;path:map00500;path:map00520;path:map00521;path:map00524;path:map00566;path:map00901;path:map01100;path:map01110;path:map02010;path:map02020;path:map02060;path:map04066;path:map04068;path:map04113;path:map04148;path:map04152;path:map04742;path:map04910;path:map04911;path:map04917,ec:1.1.1.118;ec:1.1.1.119;ec:1.1.1.121;ec:1.1.1.359;ec:1.1.1.360;ec:1.1.1.432;ec:1.1.3.10;ec:1.1.5.2;ec:1.1.5.9;ec:1.1.99.28;ec:1.1.99.35;ec:2.3.1.103;ec:2.3.1.143;ec:2.3.1.152;ec:2.3.1.72;ec:2.3.1.90;ec:2.3.1.91;ec:2.3.1.92;ec:2.4.1.10;ec:2.4.1.20;ec:2.4.1.22;ec:2.4.1.230;ec:2.4.1.245;ec:2.4.1.25,,Gck;Ldhal6b;Aldh7a1;Adh1;Adh7;Adh5;Gm29667;Aldh2;Aldh3a1;Aldh3a2;Bpgm;Dld;Eno1;Eno2;Eno3;Fbp2;Fbp1;G6pc1;G6pc2;Gapdh;Hk1;Hk2;Ldha;Ldhb;Ldhc;Minpp1;Pck1;Pdha1;Pdha2;Pfkl;Pgk1;Pgk2;Pkm;Pklr;Hk3;Hkdc1;Tpi1;Eno4;Aldob;Dlat;Aldoart1;Eno1b;Pgam2;Pfkp;Aldh9a1;Akr1a1;Acss2;Aldh3b2;Pgm2;Aldh3b1
cystine,"compound/enzyme mapped, no mouse genes found for linked enzymes",C01420;C05704,Cystine; Dicysteine; alpha-Diamino-beta-dithiolactic acid;Selenocystine,,ec:1.8.4.4,,
