source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
sFig6A Raw data.xlsx,Raffinose,PH-mk_vs_Control-mk,up,7.0165201121758685,1458.3533333333335,188819.03666666665,,,122.97610863614034
sFig6A Raw data.xlsx,15-deoxy-delta-12-14-PGJ2,PH-mk_vs_Control-mk,up,4.846919218413628,86255.87,2482314.0833333335,,,102.96434004622915
sFig6A Raw data.xlsx,phosphate,PH-mk_vs_Control-mk,up,3.4180422038930645,8498040.166666666,90834746.66666667,,,90.36189630657456
sFig6A Raw data.xlsx,Carnosic acid,PH-mk_vs_Control-mk,up,4.290506640845637,20658.983333333334,404278.03,,,79.91065120623045
sFig6A Raw data.xlsx,Urocanic acid,PH-mk_vs_Control-mk,down,-3.948258645566797,758646.4166666666,49146.78666666666,,,77.12161257940647
sFig6A Raw data.xlsx,Retinoic Acid,PH-mk_vs_Control-mk,up,3.4361579018870074,388707.19999999995,4207355.25,,,75.61087659146038
sFig6A Raw data.xlsx,tryptophan,PH-mk_vs_Control-mk,up,4.034696668047187,23488.033333333336,384956.25,,,74.86112859522899
sFig6A Raw data.xlsx,C22:3,PH-mk_vs_Control-mk,up,3.4868955916424915,38425.55333333334,430804.5633333333,,,65.26309975970196
sFig6A Raw data.xlsx,Glucose,PH-mk_vs_Control-mk,up,2.766331697139766,1137404.1666666667,7738622.0,,,63.303753747103464
sFig6A Raw data.xlsx,cystine,PH-mk_vs_Control-mk,up,3.0576971406392466,129764.98,1080478.33,,,61.286157766959924
sFig6A Raw data.xlsx,pyridoxine,PH-mk_vs_Control-mk,up,3.028729382605895,121057.18333333333,987936.3333333334,,,60.314298668274894
sFig6A Raw data.xlsx,methionine,PH-mk_vs_Control-mk,up,3.25637986649744,33984.19333333333,324746.87666666665,,,59.620930567576046
sFig6A Raw data.xlsx,Cholesteryl sulfate,PH-mk_vs_Control-mk,down,-2.4262388314964833,13147820.0,2446150.0,,,57.376473216337956
sFig6A Raw data.xlsx,Pyruvaldehyde,PH-mk_vs_Control-mk,up,2.7567233178532256,253450.80000000002,1712971.2533333332,,,57.086420407681906
sFig6A Raw data.xlsx,tyrosine,PH-mk_vs_Control-mk,up,2.978409292049606,71873.81666666667,566449.56,,,56.92213878185053
sFig6A Raw data.xlsx,Thiamine,PH-mk_vs_Control-mk,up,2.746424803856504,210122.28666666665,1410030.04,,,56.10203101315889
sFig6A Raw data.xlsx,isoleucine,PH-mk_vs_Control-mk,up,2.480309237877108,996431.6266666666,5560258.5,,,55.575596553864884
sFig6A Raw data.xlsx,cysteine,PH-mk_vs_Control-mk,up,3.337295232096818,9359.19,94594.14,,,55.1637495998621
sFig6A Raw data.xlsx,1-Tetradecanesulfonic acid,PH-CD41_vs_Control-CD41,up,5.814834601394574,33557.96666666667,1889014.42,,,121.23466729380817
sFig6A Raw data.xlsx,inosine,PH-CD41_vs_Control-CD41,up,3.815394296917444,13425.519999999999,189007.59,,,66.8765833114203
Figure6D+F raw data.xlsx:FDR,Perfluorooctanesulfonic acid,KO_or_PH_vs_WT_or_control,up,3.92783959558583,108277.598,1647920.094,0.00135210626526546,0.00208482585119247,14.458103452884481
sFig6A Raw data.xlsx,PE(40:1),PH-mk_vs_Control-mk,down,-49.47319335712327,781475.1666666666,0.0,,,968.4794336731759
sFig6A Raw data.xlsx,ceramide(d18:1/18:1),PH-mk_vs_Control-mk,down,-47.32525575945354,176328.1033333333,0.0,,,824.7803495605361
sFig6A Raw data.xlsx,Gibberellin A14 isomer,PH-mk_vs_Control-mk,up,47.1097278632252,0.0,151859.22333333336,,,810.8707501160227
sFig6A Raw data.xlsx,PG(16:1/20:5),PH-CD41_vs_Control-CD41,down,-41.687991869893715,3542.713333333333,0.0,,,491.54503759302133
sFig6A Raw data.xlsx,SM(d18:1/24:0),PH-mk_vs_Control-mk,down,-9.819000353536092,4356564.04,4823.1466666666665,,,216.555692809472
sFig6A Raw data.xlsx,SM(d18:1/20:0),PH-mk_vs_Control-mk,down,-7.9086584260392305,6944896.833333333,28901.63333333333,,,179.74420868577047
sFig6A Raw data.xlsx,DAG(40:7),PH-mk_vs_Control-mk,down,-7.590108684649294,817199.73,4241.093333333333,,,149.07224664397484
sFig6A Raw data.xlsx,PC(18:0/20:2),PH-mk_vs_Control-mk,down,-6.170330330484144,6525028.166666667,90599.93333333333,,,139.6811793891095
sFig6A Raw data.xlsx,ceramide(d18:1/16:0),PH-mk_vs_Control-mk,down,-6.279252713838097,2944431.9166666665,37910.37666666667,,,134.9383677400436
